No,Video Name,Link,Duration,Frames Collected,Total Accumulated Frames
1,"Iran war panel roundup: What has the US gained, and why send more troops?",https://www.youtube.com/watch?v=Yv-Lwso5SOM,37:06,1,1
1,"Iran war panel roundup: What has the US gained, and why send more troops?",https://www.youtube.com/watch?v=Yv-Lwso5SOM,37:06,0,0
2,WH says Iran talks 'going well'; Iran says they are not,https://www.youtube.com/watch?v=yLqr8j-F_F0,10:13,0,0
3,Trump lets Russia violate Cuba oil blockade; Castro's influencer grandson,https://www.youtube.com/watch?v=i8sDDMLnJ-E,08:21,5,5
4,Enten runs all the numbers on Iran war: From Kharg to Trump,https://www.youtube.com/watch?v=o-u99Jqdo0Q,12:03,0,5
5,Bolton reacts to Trump's latest Iran threat: ‘I wouldn’t recommend that’,https://www.youtube.com/watch?v=Wd5X__uH35U,13:32,4,9
6,Behind the scenes with the Trump admin during a month of war,https://www.youtube.com/watch?v=8dTfLfOdodg,19:38,13,22
7,The real consequences of Trump’s Iran war flip-flops | Fareed's Take,https://www.youtube.com/watch?v=OMLnltuYanM,10:40,4,26
8,Homan: ‘We’ll see’ if ICE leaves airports once TSA gets paid,https://www.youtube.com/watch?v=V5pvk2xJmz0,09:03,0,26
9,Comedians size up Trump’s Iran ultimatum & Hegseth’s throttle | Have I Got News For You,https://www.youtube.com/watch?v=MpKwQ2i335o,10:58,2,28
10,Iran war expands: What Houthis joining & attack on US troops means,https://www.youtube.com/watch?v=NTETc3MpL-k,23:46,0,28
11,Panel: Could ICE agents deploy to polls for midterm elections?,https://www.youtube.com/watch?v=l4nJSW7pOvs,09:47,0,28
12,Retired generals break down Iran war strategy after week 4,https://www.youtube.com/watch?v=DfiLbQsVB_I,22:24,5,33
13,28 minutes of Harry Enten running this week's numbers,https://www.youtube.com/watch?v=5qmOTNDVCKE,27:28,17,50
14,Who could Donald Trump run the Strait of Hormuz with? Max Foster's weekly news quiz,https://www.youtube.com/watch?v=d_rUJrf8rpE,09:07,16,66
15,"Senate votes to pay TSA workers, but when will airport lines ease?",https://www.youtube.com/watch?v=o1Jt_oJV7VU,10:06,0,66
16,What cortisol is really doing to you | Chasing Life,https://www.youtube.com/watch?v=u3nWb7fhvao,25:02,1,67
